Key,Translation
ato:ato_usage,uso_ato
ato:ato_status,stato_ato
ato:control_pump,controllo_pompa
ato:alert_after,avviso_dopo
ato:disable_on_alert,disabilita_on_alert
ato:total_seconds_pump_on,secondi_totali_pompa_on
ato:validation_error,errore_validazione
timers:name_required,nome_richiesto
timers:timer_status_required,stato_timer_richiesto
timers:day_required,giorno_richiesto
timers:hour_required,ora_richiesta
timers:minute_required,minuti_richiesti
timers:second_required,secondi_richiesti
timers:type_required,tipo_richiesto
timers:equipment_required,attrezzatura_richiesta
timers:on_required,on_richiesto
timers:duration_required,durara_richiesta
timers:subject_required,soggetto_richiesto
timers:message_required,messaggio_richiesto
alerts,allarmi
unit,unità
timers:validation_error,errore validazione
timers:turn_on,accendi
timers:turn_off,spegni
timers:and_then,e_quindi
timers:turn_back_on,accendi_di_nuovo
timers:turn_back_off,spegni_di_nuovo
timers:stay_on,stai_acceso
timers:stay_off,stai_spento
second_s,secondo_s
sec,secondo
timers:sec,sec
timers:after,dopo
timers:subject,soggetto
timers:message,messaggio
timers:timer_status,stato_timer
timers:function,funzione
timers:equipment,attrezzatura
timers:reminder,promemoria
temperature:temperature,temperatura
temperature:heater_cooler,riscaldatore_raffreddatore
temperature:chart_minimum,grafico_minimo
temperature:chart_maximum,grafico_massimo
temperature:validation_error,errore_validazione
temperature:sensor,sensore
temperature:sensor_status,stato_sensore
temperature:celcius,celsius
temperature:fahrenheit,fahrenheit
capabilities:manager,manager
configuration:settings:enable_prometheus,abilita_prometheus
done,fatto
analog_input,ingresso_analogico
ph:calibrate,calibra
ph:midpoint,midpoint
ph:second_point,secondo_punto
ph:current_reading,lettura_attuale
ph:run_calibration,avvia_calibrazione
ph:validation_error,errore_validazione
ph:status,stato
ph:check_frequency,controlla_frequenza
ph:alert_below,allarme_inferiore
ph:alert_above,allarme_superiore
ph:warn_delete,cancella_avviso
ph:name_required,nome_richiesto
ph:status_required,stato_richiesto
ph:period_required,periodo_richiesto
ph:period_type,tipo_periodo
ph:period_min,minimo_periodo
ph:threshold_required,soglia_richiesta
ph:threshold_type,tipo_di_soglia
ph:threshold_less_than,soglia_minore_di
ph:threshold_greater_than,soglia_maggiore_di
ph:analog_input_required,ingresso_analogico_richiesto
language:pt,pt
language:zh,zh
cron:month,mese
cron:week,settimana
timers:macros,macro
timers:macro,macro
ph:control,controllo
ph:controlnothing,controlloniente
ph:controlmacro,controllomacro
ph:controlequipment,controlloattrezzatura
ph:lower_threshold,soglia_inferiore
ph:lower_function,funzione_inferiore
ph:upper_threshold,soglia_superiore
ph:upper_function,funzione_superiore
ph:control_required,controllo_richiesto
ph:lower_threshold_required,soglia_inferiore_richiesta
ph:lower_threshold_type,tipo_di_soglia_inferiore
ph:lower_threshold_less_than,soglia_inferiore_minore_di
ph:lower_function_required,funzione_inferiore_richiesta
ph:upper_threshold_required,soglia_superiore_richiesta
ph:upper_threshold_type,tipo_soglia_superiore
ph:upper_threshold_greater_than,soglia_superiore_minore_di
ph:upper_function_required,funzione_superiore_richiesta
temperature:control,controllo
temperatur:controlnothing,controlloniente
temperature:controlmacro,controllomacro
temperature:controlequipment,controlloattrezzatura
temperature:lower_threshold,soglia_inferiore
temperature:lower_function,funzione_inferiore
temperature:upper_threshold,soglia_superiore
temperature:upper_function,funzione_superiore
temperature:calibrate,calibra
temperature:calibration:set_temperature,setta_temperatura
temperature:calibration:apply,applica
temperature:current_reading,lettura_attuale
temperature:warn_delete,cancella_avviso
driver,driver
pin,piedino
reverse,inverso
inlets,inlets
outlets,outlets
outlet,outlet
jacks,jacks
jack,jack
analog_inputs,ingresso_analogico
in-use,in_uso
pins:Pins,Pins
health,salute
doser,dosatore
equipment,attrezzatura
ato,ato
light,luce
temperature:chart:current,attuale
temperature:chart:historical,storico
ph:chart:current,attuale
ph:chart:historical,storico
